,eolbp,amount_of_factors,lbp_length,eras_long,eras_short,amount_of_months
0,1972-10-31,51,12,1972-1990,1972-1985,18
1,1972-11-30,51,12,1972-1990,1972-1985,29
2,1972-12-31,51,12,1972-1990,1972-1985,16
3,1973-01-31,51,12,1972-1990,1972-1985,15
4,1973-02-28,51,12,1972-1990,1972-1985,25
5,1973-03-31,51,12,1972-1990,1972-1985,24
6,1973-04-30,51,12,1972-1990,1972-1985,23
7,1973-05-31,51,12,1972-1990,1972-1985,22
8,1973-06-30,51,12,1972-1990,1972-1985,21
9,1973-07-31,51,12,1972-1990,1972-1985,21
10,1973-08-31,51,12,1972-1990,1972-1985,19
11,1973-09-30,51,12,1972-1990,1972-1985,19
12,1973-10-31,51,12,1972-1990,1972-1985,18
13,1973-11-30,51,12,1972-1990,1972-1985,17
14,1973-12-31,51,12,1972-1990,1972-1985,17
15,1974-01-31,51,12,1972-1990,1972-1985,19
16,1974-02-28,51,12,1972-1990,1972-1985,18
17,1974-03-31,51,12,1972-1990,1972-1985,67
18,1974-04-30,51,12,1972-1990,1972-1985,66
19,1974-05-31,51,12,1972-1990,1972-1985,65
20,1974-06-30,51,12,1972-1990,1972-1985,64
21,1974-07-31,51,12,1972-1990,1972-1985,62
22,1974-08-31,51,12,1972-1990,1972-1985,61
23,1974-09-30,51,12,1972-1990,1972-1985,43
24,1974-10-31,51,12,1972-1990,1972-1985,59
25,1974-11-30,51,12,1972-1990,1972-1985,59
26,1974-12-31,51,12,1972-1990,1972-1985,57
27,1975-01-31,51,12,1972-1990,1972-1985,56
28,1975-02-28,51,12,1972-1990,1972-1985,55
29,1975-03-31,51,12,1972-1990,1972-1985,54
30,1975-04-30,51,12,1972-1990,1972-1985,54
31,1975-05-31,51,12,1972-1990,1972-1985,55
32,1975-06-30,51,12,1972-1990,1972-1985,51
33,1975-07-31,51,12,1972-1990,1972-1985,51
34,1975-08-31,51,12,1972-1990,1972-1985,49
35,1975-09-30,51,12,1972-1990,1972-1985,49
36,1975-10-31,51,12,1972-1990,1972-1985,47
37,1975-11-30,51,12,1972-1990,1972-1985,46
38,1975-12-31,51,12,1972-1990,1972-1985,45
39,1976-01-31,51,12,1972-1990,1972-1985,47
40,1976-02-29,51,12,1972-1990,1972-1985,44
41,1976-03-31,51,12,1972-1990,1972-1985,43
42,1976-04-30,51,12,1972-1990,1972-1985,41
43,1976-05-31,51,12,1972-1990,1972-1985,40
44,1976-06-30,51,12,1972-1990,1972-1985,40
45,1976-07-31,51,12,1972-1990,1972-1985,38
46,1976-08-31,51,12,1972-1990,1972-1985,37
47,1976-09-30,51,12,1972-1990,1972-1985,36
48,1976-10-31,51,12,1972-1990,1972-1985,36
49,1976-11-30,51,12,1972-1990,1972-1985,35
50,1976-12-31,51,12,1972-1990,1972-1985,34
51,1977-01-31,51,12,1972-1990,1972-1985,32
52,1977-02-28,51,12,1972-1990,1972-1985,14
53,1977-03-31,51,12,1972-1990,1972-1985,13
54,1977-04-30,51,12,1972-1990,1972-1985,29
55,1977-05-31,51,12,1972-1990,1972-1985,29
56,1977-06-30,51,12,1972-1990,1972-1985,27
57,1977-07-31,51,12,1972-1990,1972-1985,27
58,1977-08-31,51,12,1972-1990,1972-1985,34
59,1977-09-30,51,12,1972-1990,1972-1985,28
60,1977-10-31,51,12,1972-1990,1972-1985,26
61,1977-11-30,51,12,1972-1990,1972-1985,31
62,1977-12-31,51,12,1972-1990,1972-1985,34
63,1978-01-31,51,12,1972-1990,1972-1985,148
64,1978-02-28,51,12,1972-1990,1972-1985,153
65,1978-03-31,51,12,1972-1990,1972-1985,256
66,1978-04-30,51,12,1972-1990,1972-1985,14
67,1978-05-31,51,12,1972-1990,1972-1985,13
68,1978-06-30,51,12,1972-1990,1972-1985,12
69,1978-07-31,51,12,1972-1990,1972-1985,0
70,1978-08-31,51,12,1972-1990,1972-1985,0
71,1978-09-30,51,12,1972-1990,1972-1985,37
72,1978-10-31,51,12,1972-1990,1972-1985,127
73,1978-11-30,51,12,1972-1990,1972-1985,35
74,1978-12-31,51,12,1972-1990,1972-1985,34
75,1979-01-31,51,12,1972-1990,1972-1985,33
76,1979-02-28,51,12,1972-1990,1972-1985,32
77,1979-03-31,51,12,1972-1990,1972-1985,31
78,1979-04-30,51,12,1972-1990,1972-1985,30
79,1979-05-31,51,12,1972-1990,1972-1985,246
80,1979-06-30,51,12,1972-1990,1972-1985,16
81,1979-07-31,51,12,1972-1990,1972-1985,0
82,1979-08-31,51,12,1972-1990,1972-1985,0
83,1979-09-30,51,12,1972-1990,1972-1985,144
84,1979-10-31,51,12,1972-1990,1972-1985,24
85,1979-11-30,51,12,1972-1990,1972-1985,23
86,1979-12-31,51,12,1972-1990,1972-1985,22
87,1980-01-31,51,12,1972-1990,1972-1985,21
88,1980-02-29,51,12,1972-1990,1972-1985,20
89,1980-03-31,51,12,1972-1990,1972-1985,19
90,1980-04-30,51,12,1972-1990,1972-1985,18
91,1980-05-31,51,12,1972-1990,1972-1985,17
92,1980-06-30,51,12,1972-1990,1972-1985,16
93,1980-07-31,51,12,1972-1990,1972-1985,13
94,1980-08-31,51,12,1972-1990,1972-1985,12
95,1980-09-30,51,12,1972-1990,1972-1985,0
96,1980-10-31,51,12,1972-1990,1972-1985,0
97,1980-11-30,51,12,1972-1990,1972-1985,0
98,1980-12-31,51,12,1972-1990,1972-1985,0
99,1981-01-31,51,12,1972-1990,1972-1985,32
100,1981-02-28,51,12,1972-1990,1972-1985,32
101,1981-03-31,51,12,1972-1990,1972-1985,31
102,1981-04-30,51,12,1972-1990,1972-1985,30
103,1981-05-31,51,12,1972-1990,1972-1985,29
104,1981-06-30,51,12,1972-1990,1972-1985,31
105,1981-07-31,51,12,1972-1990,1972-1985,220
106,1981-08-31,51,12,1972-1990,1972-1985,20
107,1981-09-30,51,12,1972-1990,1972-1985,19
108,1981-10-31,51,12,1972-1990,1972-1985,18
109,1981-11-30,51,12,1972-1990,1972-1985,15
110,1981-12-31,51,12,1972-1990,1972-1985,16
111,1982-01-31,51,12,1972-1990,1972-1985,15
112,1982-02-28,51,12,1972-1990,1972-1985,14
113,1982-03-31,51,12,1972-1990,1972-1985,13
114,1982-04-30,51,12,1972-1990,1972-1985,12
115,1982-05-31,51,12,1972-1990,1972-1985,0
116,1982-06-30,51,12,1972-1990,1972-1985,0
117,1982-07-31,51,12,1972-1990,1972-1985,0
118,1982-08-31,51,12,1972-1990,1972-1985,0
119,1982-09-30,51,12,1972-1990,1972-1985,0
120,1982-10-31,51,12,1972-1990,1972-1985,98
121,1982-11-30,51,12,1972-1990,1972-1985,104
122,1982-12-31,51,12,1972-1990,1972-1985,102
123,1983-01-31,51,12,1972-1990,1972-1985,96
124,1983-02-28,51,12,1972-1990,1972-1985,257
125,1983-03-31,51,12,1972-1990,1972-1985,256
126,1983-04-30,51,12,1972-1990,1972-1985,257
127,1983-05-31,51,12,1972-1990,1972-1985,254
128,1983-06-30,51,12,1972-1990,1972-1985,0
129,1983-07-31,51,12,1972-1990,1972-1985,70
130,1983-08-31,51,12,1972-1990,1972-1985,87
131,1983-09-30,51,12,1972-1990,1972-1985,20
132,1983-10-31,51,12,1972-1990,1972-1985,72
133,1983-11-30,51,12,1972-1990,1972-1985,71
134,1983-12-31,51,12,1972-1990,1972-1985,70
135,1984-01-31,51,12,1972-1990,1972-1985,43
136,1984-02-29,51,12,1972-1990,1972-1985,42
137,1984-03-31,51,12,1972-1990,1972-1985,72
138,1984-04-30,51,12,1972-1990,1972-1985,40
139,1984-05-31,51,12,1972-1990,1972-1985,39
140,1984-06-30,51,12,1972-1990,1972-1985,38
141,1984-07-31,51,12,1972-1990,1972-1985,37
142,1984-08-31,51,12,1972-1990,1972-1985,36
143,1984-09-30,51,12,1972-1990,1972-1985,35
144,1984-10-31,51,12,1972-1990,1972-1985,34
145,1984-11-30,51,12,1972-1990,1972-1985,33
146,1984-12-31,51,12,1972-1990,1972-1985,30
147,1985-01-31,51,12,1972-1990,1972-1985,29
148,1985-02-28,51,12,1972-1990,1972-1985,28
149,1985-03-31,51,12,1972-1990,1972-1985,27
150,1985-04-30,51,12,1972-1990,1972-1985,26
151,1985-05-31,51,12,1972-1990,1972-1985,25
152,1985-06-30,51,12,1972-1990,1972-1985,24
153,1985-07-31,51,12,1972-1990,1972-1985,25
154,1985-08-31,51,12,1972-1990,1972-1985,23
155,1985-09-30,51,12,1972-1990,1972-1985,70
156,1985-10-31,51,12,1972-1990,1972-1985,69
157,1985-11-30,51,12,1972-1990,1972-1985,69
158,1985-12-31,51,12,1972-1990,1972-1985,68
159,1986-01-31,51,12,1972-1990,1986-1990,66
160,1986-02-28,51,12,1972-1990,1986-1990,65
161,1986-03-31,51,12,1972-1990,1986-1990,15
162,1986-04-30,51,12,1972-1990,1986-1990,14
163,1986-05-31,51,12,1972-1990,1986-1990,30
164,1986-06-30,51,12,1972-1990,1986-1990,12
165,1986-07-31,51,12,1972-1990,1986-1990,0
166,1986-08-31,51,12,1972-1990,1986-1990,0
167,1986-09-30,51,12,1972-1990,1986-1990,0
168,1986-10-31,51,12,1972-1990,1986-1990,26
169,1986-11-30,51,12,1972-1990,1986-1990,58
170,1986-12-31,51,12,1972-1990,1986-1990,57
171,1987-01-31,51,12,1972-1990,1986-1990,56
172,1987-02-28,51,12,1972-1990,1986-1990,21
173,1987-03-31,51,12,1972-1990,1986-1990,57
174,1987-04-30,51,12,1972-1990,1986-1990,53
175,1987-05-31,51,12,1972-1990,1986-1990,51
176,1987-06-30,51,12,1972-1990,1986-1990,50
177,1987-07-31,51,12,1972-1990,1986-1990,49
178,1987-08-31,51,12,1972-1990,1986-1990,65
179,1987-09-30,51,12,1972-1990,1986-1990,64
180,1987-10-31,51,12,1972-1990,1986-1990,46
181,1987-11-30,51,12,1972-1990,1986-1990,44
182,1987-12-31,51,12,1972-1990,1986-1990,45
183,1988-01-31,51,12,1972-1990,1986-1990,36
184,1988-02-29,51,12,1972-1990,1986-1990,27
185,1988-03-31,51,12,1972-1990,1986-1990,26
186,1988-04-30,51,12,1972-1990,1986-1990,25
187,1988-05-31,51,12,1972-1990,1986-1990,24
188,1988-06-30,51,12,1972-1990,1986-1990,22
189,1988-07-31,51,12,1972-1990,1986-1990,21
190,1988-08-31,51,12,1972-1990,1986-1990,20
191,1988-09-30,51,12,1972-1990,1986-1990,19
192,1988-10-31,51,12,1972-1990,1986-1990,16
193,1988-11-30,51,12,1972-1990,1986-1990,17
194,1988-12-31,51,12,1972-1990,1986-1990,14
195,1989-01-31,51,12,1972-1990,1986-1990,15
196,1989-02-28,51,12,1972-1990,1986-1990,13
197,1989-03-31,51,12,1972-1990,1986-1990,14
198,1989-04-30,51,12,1972-1990,1986-1990,13
199,1989-05-31,51,12,1972-1990,1986-1990,26
200,1989-06-30,51,12,1972-1990,1986-1990,0
201,1989-07-31,51,12,1972-1990,1986-1990,18
202,1989-08-31,51,12,1972-1990,1986-1990,24
203,1989-09-30,51,12,1972-1990,1986-1990,23
204,1989-10-31,51,12,1972-1990,1986-1990,22
205,1989-11-30,51,12,1972-1990,1986-1990,21
206,1989-12-31,51,12,1972-1990,1986-1990,19
207,1990-01-31,51,12,1972-1990,1986-1990,18
208,1990-02-28,51,12,1972-1990,1986-1990,17
209,1990-03-31,51,12,1972-1990,1986-1990,18
210,1990-04-30,51,12,1972-1990,1986-1990,17
211,1990-05-31,51,12,1972-1990,1986-1990,16
212,1990-06-30,51,12,1972-1990,1986-1990,23
213,1990-07-31,51,12,1972-1990,1986-1990,14
214,1990-08-31,51,12,1972-1990,1986-1990,12
215,1990-09-30,51,12,1972-1990,1986-1990,0
216,1990-10-31,51,12,1972-1990,1986-1990,0
217,1990-11-30,51,12,1972-1990,1986-1990,13
218,1990-12-31,51,12,1972-1990,1986-1990,23
219,1991-01-31,51,12,1991-2005,1991-1995,22
220,1991-02-28,51,12,1991-2005,1991-1995,21
221,1991-03-31,51,12,1991-2005,1991-1995,20
222,1991-04-30,51,12,1991-2005,1991-1995,21
223,1991-05-31,51,12,1991-2005,1991-1995,25
224,1991-06-30,51,12,1991-2005,1991-1995,21
225,1991-07-31,51,12,1991-2005,1991-1995,20
226,1991-08-31,51,12,1991-2005,1991-1995,17
227,1991-09-30,51,12,1991-2005,1991-1995,23
228,1991-10-31,51,12,1991-2005,1991-1995,180
229,1991-11-30,51,12,1991-2005,1991-1995,14
230,1991-12-31,51,12,1991-2005,1991-1995,13
231,1992-01-31,51,12,1991-2005,1991-1995,0
232,1992-02-29,51,12,1991-2005,1991-1995,0
233,1992-03-31,51,12,1991-2005,1991-1995,150
234,1992-04-30,51,12,1991-2005,1991-1995,48
235,1992-05-31,51,12,1991-2005,1991-1995,37
236,1992-06-30,51,12,1991-2005,1991-1995,36
237,1992-07-31,51,12,1991-2005,1991-1995,35
238,1992-08-31,51,12,1991-2005,1991-1995,17
239,1992-09-30,51,12,1991-2005,1991-1995,16
240,1992-10-31,51,12,1991-2005,1991-1995,32
241,1992-11-30,51,12,1991-2005,1991-1995,41
242,1992-12-31,51,12,1991-2005,1991-1995,30
243,1993-01-31,51,12,1991-2005,1991-1995,29
244,1993-02-28,51,12,1991-2005,1991-1995,0
245,1993-03-31,51,12,1991-2005,1991-1995,26
246,1993-04-30,51,12,1991-2005,1991-1995,25
247,1993-05-31,51,12,1991-2005,1991-1995,35
248,1993-06-30,51,12,1991-2005,1991-1995,76
249,1993-07-31,51,12,1991-2005,1991-1995,23
250,1993-08-31,51,12,1991-2005,1991-1995,77
251,1993-09-30,51,12,1991-2005,1991-1995,135
252,1993-10-31,51,12,1991-2005,1991-1995,134
253,1993-11-30,51,12,1991-2005,1991-1995,19
254,1993-12-31,51,12,1991-2005,1991-1995,18
255,1994-01-31,51,12,1991-2005,1991-1995,26
256,1994-02-28,51,12,1991-2005,1991-1995,83
257,1994-03-31,51,12,1991-2005,1991-1995,82
258,1994-04-30,51,12,1991-2005,1991-1995,51
259,1994-05-31,51,12,1991-2005,1991-1995,23
260,1994-06-30,51,12,1991-2005,1991-1995,12
261,1994-07-31,51,12,1991-2005,1991-1995,21
262,1994-08-31,51,12,1991-2005,1991-1995,62
263,1994-09-30,51,12,1991-2005,1991-1995,61
264,1994-10-31,51,12,1991-2005,1991-1995,60
265,1994-11-30,51,12,1991-2005,1991-1995,59
266,1994-12-31,51,12,1991-2005,1991-1995,58
267,1995-01-31,51,12,1991-2005,1991-1995,14
268,1995-02-28,51,12,1991-2005,1991-1995,13
269,1995-03-31,51,12,1991-2005,1991-1995,13
270,1995-04-30,51,12,1991-2005,1991-1995,55
271,1995-05-31,51,12,1991-2005,1991-1995,54
272,1995-06-30,51,12,1991-2005,1991-1995,99
273,1995-07-31,51,12,1991-2005,1991-1995,0
274,1995-08-31,51,12,1991-2005,1991-1995,27
275,1995-09-30,51,12,1991-2005,1991-1995,95
276,1995-10-31,51,12,1991-2005,1991-1995,94
277,1995-11-30,51,12,1991-2005,1991-1995,94
278,1995-12-31,51,12,1991-2005,1991-1995,49
279,1996-01-31,51,12,1991-2005,1996-2000,97
280,1996-02-29,51,12,1991-2005,1996-2000,90
281,1996-03-31,51,12,1991-2005,1996-2000,95
282,1996-04-30,51,12,1991-2005,1996-2000,57
283,1996-05-31,51,12,1991-2005,1996-2000,0
284,1996-06-30,51,12,1991-2005,1996-2000,86
285,1996-07-31,51,12,1991-2005,1996-2000,29
286,1996-08-31,51,12,1991-2005,1996-2000,28
287,1996-09-30,51,12,1991-2005,1996-2000,33
288,1996-10-31,51,12,1991-2005,1996-2000,26
289,1996-11-30,51,12,1991-2005,1996-2000,25
290,1996-12-31,51,12,1991-2005,1996-2000,24
291,1997-01-31,51,12,1991-2005,1996-2000,23
292,1997-02-28,51,12,1991-2005,1996-2000,21
293,1997-03-31,51,12,1991-2005,1996-2000,20
294,1997-04-30,51,12,1991-2005,1996-2000,19
295,1997-05-31,51,12,1991-2005,1996-2000,18
296,1997-06-30,51,12,1991-2005,1996-2000,17
297,1997-07-31,51,12,1991-2005,1996-2000,17
298,1997-08-31,51,12,1991-2005,1996-2000,16
299,1997-09-30,51,12,1991-2005,1996-2000,15
300,1997-10-31,51,12,1991-2005,1996-2000,14
301,1997-11-30,51,12,1991-2005,1996-2000,13
302,1997-12-31,51,12,1991-2005,1996-2000,0
303,1998-01-31,51,12,1991-2005,1996-2000,0
304,1998-02-28,51,12,1991-2005,1996-2000,12
305,1998-03-31,51,12,1991-2005,1996-2000,12
306,1998-04-30,51,12,1991-2005,1996-2000,19
307,1998-05-31,51,12,1991-2005,1996-2000,0
308,1998-06-30,51,12,1991-2005,1996-2000,0
309,1998-07-31,51,12,1991-2005,1996-2000,0
310,1998-08-31,51,12,1991-2005,1996-2000,0
311,1998-09-30,51,12,1991-2005,1996-2000,0
312,1998-10-31,51,12,1991-2005,1996-2000,0
313,1998-11-30,51,12,1991-2005,1996-2000,0
314,1998-12-31,51,12,1991-2005,1996-2000,54
315,1999-01-31,51,12,1991-2005,1996-2000,24
316,1999-02-28,51,12,1991-2005,1996-2000,23
317,1999-03-31,51,12,1991-2005,1996-2000,22
318,1999-04-30,51,12,1991-2005,1996-2000,21
319,1999-05-31,51,12,1991-2005,1996-2000,20
320,1999-06-30,51,12,1991-2005,1996-2000,19
321,1999-07-31,51,12,1991-2005,1996-2000,18
322,1999-08-31,51,12,1991-2005,1996-2000,15
323,1999-09-30,51,12,1991-2005,1996-2000,14
324,1999-10-31,51,12,1991-2005,1996-2000,13
325,1999-11-30,51,12,1991-2005,1996-2000,12
326,1999-12-31,51,12,1991-2005,1996-2000,0
327,2000-01-31,51,12,1991-2005,1996-2000,0
328,2000-02-29,51,12,1991-2005,1996-2000,0
329,2000-03-31,51,12,1991-2005,1996-2000,0
330,2000-04-30,51,12,1991-2005,1996-2000,0
331,2000-05-31,51,12,1991-2005,1996-2000,12
332,2000-06-30,51,12,1991-2005,1996-2000,0
333,2000-07-31,51,12,1991-2005,1996-2000,0
334,2000-08-31,51,12,1991-2005,1996-2000,0
335,2000-09-30,51,12,1991-2005,1996-2000,0
336,2000-10-31,51,12,1991-2005,1996-2000,40
337,2000-11-30,51,12,1991-2005,1996-2000,30
338,2000-12-31,51,12,1991-2005,1996-2000,29
339,2001-01-31,51,12,1991-2005,2001-2005,28
340,2001-02-28,51,12,1991-2005,2001-2005,27
341,2001-03-31,51,12,1991-2005,2001-2005,26
342,2001-04-30,51,12,1991-2005,2001-2005,25
343,2001-05-31,51,12,1991-2005,2001-2005,24
344,2001-06-30,51,12,1991-2005,2001-2005,23
345,2001-07-31,51,12,1991-2005,2001-2005,22
346,2001-08-31,51,12,1991-2005,2001-2005,21
347,2001-09-30,51,12,1991-2005,2001-2005,20
348,2001-10-31,51,12,1991-2005,2001-2005,19
349,2001-11-30,51,12,1991-2005,2001-2005,18
350,2001-12-31,51,12,1991-2005,2001-2005,42
351,2002-01-31,51,12,1991-2005,2001-2005,16
352,2002-02-28,51,12,1991-2005,2001-2005,15
353,2002-03-31,51,12,1991-2005,2001-2005,14
354,2002-04-30,51,12,1991-2005,2001-2005,13
355,2002-05-31,51,12,1991-2005,2001-2005,0
356,2002-06-30,51,12,1991-2005,2001-2005,0
357,2002-07-31,51,12,1991-2005,2001-2005,0
358,2002-08-31,51,12,1991-2005,2001-2005,0
359,2002-09-30,51,12,1991-2005,2001-2005,0
360,2002-10-31,51,12,1991-2005,2001-2005,0
361,2002-11-30,51,12,1991-2005,2001-2005,0
362,2002-12-31,51,12,1991-2005,2001-2005,0
363,2003-01-31,51,12,1991-2005,2001-2005,0
364,2003-02-28,51,12,1991-2005,2001-2005,0
365,2003-03-31,51,12,1991-2005,2001-2005,0
366,2003-04-30,51,12,1991-2005,2001-2005,0
367,2003-05-31,51,12,1991-2005,2001-2005,19
368,2003-06-30,51,12,1991-2005,2001-2005,13
369,2003-07-31,51,12,1991-2005,2001-2005,12
370,2003-08-31,51,12,1991-2005,2001-2005,0
371,2003-09-30,51,12,1991-2005,2001-2005,0
372,2003-10-31,51,12,1991-2005,2001-2005,0
373,2003-11-30,51,12,1991-2005,2001-2005,0
374,2003-12-31,51,12,1991-2005,2001-2005,0
375,2004-01-31,51,12,1991-2005,2001-2005,0
376,2004-02-29,51,12,1991-2005,2001-2005,0
377,2004-03-31,51,12,1991-2005,2001-2005,0
378,2004-04-30,51,12,1991-2005,2001-2005,39
379,2004-05-31,51,12,1991-2005,2001-2005,39
380,2004-06-30,51,12,1991-2005,2001-2005,37
381,2004-07-31,51,12,1991-2005,2001-2005,17
382,2004-08-31,51,12,1991-2005,2001-2005,0
383,2004-09-30,51,12,1991-2005,2001-2005,0
384,2004-10-31,51,12,1991-2005,2001-2005,14
385,2004-11-30,51,12,1991-2005,2001-2005,13
386,2004-12-31,51,12,1991-2005,2001-2005,13
387,2005-01-31,51,12,1991-2005,2001-2005,0
388,2005-02-28,51,12,1991-2005,2001-2005,0
389,2005-03-31,51,12,1991-2005,2001-2005,0
390,2005-04-30,51,12,1991-2005,2001-2005,0
391,2005-05-31,51,12,1991-2005,2001-2005,25
392,2005-06-30,51,12,1991-2005,2001-2005,24
393,2005-07-31,51,12,1991-2005,2001-2005,44
394,2005-08-31,51,12,1991-2005,2001-2005,12
395,2005-09-30,51,12,1991-2005,2001-2005,0
396,2005-10-31,51,12,1991-2005,2001-2005,13
397,2005-11-30,51,12,1991-2005,2001-2005,0
398,2005-12-31,51,12,1991-2005,2001-2005,0
399,2006-01-31,51,12,2006-2021,2006-2010,0
400,2006-02-28,51,12,2006-2021,2006-2010,0
401,2006-03-31,51,12,2006-2021,2006-2010,0
402,2006-04-30,51,12,2006-2021,2006-2010,0
403,2006-05-31,51,12,2006-2021,2006-2010,12
404,2006-06-30,51,12,2006-2021,2006-2010,33
405,2006-07-31,51,12,2006-2021,2006-2010,0
406,2006-08-31,51,12,2006-2021,2006-2010,0
407,2006-09-30,51,12,2006-2021,2006-2010,0
408,2006-10-31,51,12,2006-2021,2006-2010,0
409,2006-11-30,51,12,2006-2021,2006-2010,0
410,2006-12-31,51,12,2006-2021,2006-2010,0
411,2007-01-31,51,12,2006-2021,2006-2010,0
412,2007-02-28,51,12,2006-2021,2006-2010,0
413,2007-03-31,51,12,2006-2021,2006-2010,0
414,2007-04-30,51,12,2006-2021,2006-2010,0
415,2007-05-31,51,12,2006-2021,2006-2010,0
416,2007-06-30,51,12,2006-2021,2006-2010,0
417,2007-07-31,51,12,2006-2021,2006-2010,29
418,2007-08-31,51,12,2006-2021,2006-2010,21
419,2007-09-30,51,12,2006-2021,2006-2010,19
420,2007-10-31,51,12,2006-2021,2006-2010,18
421,2007-11-30,51,12,2006-2021,2006-2010,17
422,2007-12-31,51,12,2006-2021,2006-2010,16
423,2008-01-31,51,12,2006-2021,2006-2010,15
424,2008-02-29,51,12,2006-2021,2006-2010,14
425,2008-03-31,51,12,2006-2021,2006-2010,13
426,2008-04-30,51,12,2006-2021,2006-2010,12
427,2008-05-31,51,12,2006-2021,2006-2010,0
428,2008-06-30,51,12,2006-2021,2006-2010,0
429,2008-07-31,51,12,2006-2021,2006-2010,0
430,2008-08-31,51,12,2006-2021,2006-2010,0
431,2008-09-30,51,12,2006-2021,2006-2010,0
432,2008-10-31,51,12,2006-2021,2006-2010,0
433,2008-11-30,51,12,2006-2021,2006-2010,0
434,2008-12-31,51,12,2006-2021,2006-2010,0
435,2009-01-31,51,12,2006-2021,2006-2010,0
436,2009-02-28,51,12,2006-2021,2006-2010,0
437,2009-03-31,51,12,2006-2021,2006-2010,0
438,2009-04-30,51,12,2006-2021,2006-2010,0
439,2009-05-31,51,12,2006-2021,2006-2010,18
440,2009-06-30,51,12,2006-2021,2006-2010,17
441,2009-07-31,51,12,2006-2021,2006-2010,18
442,2009-08-31,51,12,2006-2021,2006-2010,17
443,2009-09-30,51,12,2006-2021,2006-2010,65
444,2009-10-31,51,12,2006-2021,2006-2010,66
445,2009-11-30,51,12,2006-2021,2006-2010,63
446,2009-12-31,51,12,2006-2021,2006-2010,62
447,2010-01-31,51,12,2006-2021,2006-2010,13
448,2010-02-28,51,12,2006-2021,2006-2010,12
449,2010-03-31,51,12,2006-2021,2006-2010,0
450,2010-04-30,51,12,2006-2021,2006-2010,0
451,2010-05-31,51,12,2006-2021,2006-2010,0
452,2010-06-30,51,12,2006-2021,2006-2010,0
453,2010-07-31,51,12,2006-2021,2006-2010,0
454,2010-08-31,51,12,2006-2021,2006-2010,27
455,2010-09-30,51,12,2006-2021,2006-2010,75
456,2010-10-31,51,12,2006-2021,2006-2010,79
457,2010-11-30,51,12,2006-2021,2006-2010,46
458,2010-12-31,51,12,2006-2021,2006-2010,45
459,2011-01-31,51,12,2006-2021,2011-2015,44
460,2011-02-28,51,12,2006-2021,2011-2015,12
461,2011-03-31,51,12,2006-2021,2011-2015,18
462,2011-04-30,51,12,2006-2021,2011-2015,17
463,2011-05-31,51,12,2006-2021,2011-2015,16
464,2011-06-30,51,12,2006-2021,2011-2015,64
465,2011-07-31,51,12,2006-2021,2011-2015,14
466,2011-08-31,51,12,2006-2021,2011-2015,20
467,2011-09-30,51,12,2006-2021,2011-2015,0
468,2011-10-31,51,12,2006-2021,2011-2015,18
469,2011-11-30,51,12,2006-2021,2011-2015,12
470,2011-12-31,51,12,2006-2021,2011-2015,0
471,2012-01-31,51,12,2006-2021,2011-2015,15
472,2012-02-29,51,12,2006-2021,2011-2015,14
473,2012-03-31,51,12,2006-2021,2011-2015,13
474,2012-04-30,51,12,2006-2021,2011-2015,12
475,2012-05-31,51,12,2006-2021,2011-2015,0
476,2012-06-30,51,12,2006-2021,2011-2015,12
477,2012-07-31,51,12,2006-2021,2011-2015,0
478,2012-08-31,51,12,2006-2021,2011-2015,17
479,2012-09-30,51,12,2006-2021,2011-2015,29
480,2012-10-31,51,12,2006-2021,2011-2015,15
481,2012-11-30,51,12,2006-2021,2011-2015,14
482,2012-12-31,51,12,2006-2021,2011-2015,26
483,2013-01-31,51,12,2006-2021,2011-2015,12
484,2013-02-28,51,12,2006-2021,2011-2015,0
485,2013-03-31,51,12,2006-2021,2011-2015,14
486,2013-04-30,51,12,2006-2021,2011-2015,23
487,2013-05-31,51,12,2006-2021,2011-2015,21
488,2013-06-30,51,12,2006-2021,2011-2015,21
489,2013-07-31,51,12,2006-2021,2011-2015,19
490,2013-08-31,51,12,2006-2021,2011-2015,22
491,2013-09-30,51,12,2006-2021,2011-2015,62
492,2013-10-31,51,12,2006-2021,2011-2015,62
493,2013-11-30,51,12,2006-2021,2011-2015,60
494,2013-12-31,51,12,2006-2021,2011-2015,36
495,2014-01-31,51,12,2006-2021,2011-2015,34
496,2014-02-28,51,12,2006-2021,2011-2015,32
497,2014-03-31,51,12,2006-2021,2011-2015,61
498,2014-04-30,51,12,2006-2021,2011-2015,56
499,2014-05-31,51,12,2006-2021,2011-2015,31
500,2014-06-30,51,12,2006-2021,2011-2015,0
501,2014-07-31,51,12,2006-2021,2011-2015,0
502,2014-08-31,51,12,2006-2021,2011-2015,0
503,2014-09-30,51,12,2006-2021,2011-2015,27
504,2014-10-31,51,12,2006-2021,2011-2015,22
505,2014-11-30,51,12,2006-2021,2011-2015,21
506,2014-12-31,51,12,2006-2021,2011-2015,20
507,2015-01-31,51,12,2006-2021,2011-2015,19
508,2015-02-28,51,12,2006-2021,2011-2015,18
509,2015-03-31,51,12,2006-2021,2011-2015,17
510,2015-04-30,51,12,2006-2021,2011-2015,16
511,2015-05-31,51,12,2006-2021,2011-2015,15
512,2015-06-30,51,12,2006-2021,2011-2015,14
513,2015-07-31,51,12,2006-2021,2011-2015,13
514,2015-08-31,51,12,2006-2021,2011-2015,12
515,2015-09-30,51,12,2006-2021,2011-2015,0
516,2015-10-31,51,12,2006-2021,2011-2015,0
